idContact;conName;conFirstName;conTelNb;conEmail;fkSupplier
;Duran;Pierre;795565656;Duran.Pierre@Distrelec.com;
;Dupond;Jean-Pierre;796656565;Dupond.Jean-Pierre@Pctop.com;
;De Pasquale;Flavio;794764762;De Pasquale.Flavio@ABBOInformatique.com;
;Deleze;Jérémie;765331597;Deleze.Jérémie@ABBOInformatique.com;
;Evesque;Michaël;792701063;Evesque.Michaël@ABBOInformatique.com;
;Grandjean;Alicia;798129335;Grandjean.Alicia@1000Ordi.com;
;Huguenin;Yoann;792691340;Huguenin.Yoann@1000Ordi.com;
;Mosca;Alexandre;794739917;Mosca.Alexandre@Distrelec.com;
;Panchaud;Gaël;798716468;Panchaud.Gaël@Pctop.com;
;Pantoja;Alexander;787374322;Pantoja.Alexander@ABBOInformatique.com;
;Grand;Maxime;784563244;Grand.Maxime@Distrelec.com;
